;
; These settings are not part recommendations, nor are they an 
; indication these parts are supported on Intel platforms. 
; All parts on this list have NOT been validated, and it is the 
; responsibility of the customer to validate the flash parts used
; on their platform.
;
; Flash parts may change opcodes and architectures so please refer
; to the respective flash datasheet and errata/application note and
; flash vendor to confirm.
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;  8) Chip Erase Command
;  9) Chip Erase Timeout (in milliseconds)
;
;winbond
MX25L12850F,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12855F,         0xC22618, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12873F,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12875F,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12845G,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12873G,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L25635E,         0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L25735E,         0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L25635F,         0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L25735F,         0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L25645G,         0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L25673G,         0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX66L51235F,         0xC2201A, 0x20000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L51245G,         0xC2201A, 0x20000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L51237G,         0xC2201A, 0x20000000, 0x1000, 0x20, 64, 0, 0x60, 80000

;micron
M25PE10,             0x208011, 0x100000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PE20,             0x208012, 0x200000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PE40,             0x208013, 0x400000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PE80,             0x208014, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PE16,             0x208015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
M25PX80,             0x207114, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PX16,             0x207115, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
M25PX32,             0x207116, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
M25PX64,             0x207117, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q016A11,          0x20BB15, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q032A13,          0x20BA16, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q032A11,          0x20BB16, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q064A13,          0x20BA17, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q064A11,          0x20BB17, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q128A13,          0x20BA18, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q128A11,          0x20BB18, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q256Ax3,          0x20BA19, 0x10000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q256Ax1,          0x20BB19, 0x10000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q512Ax3,          0x20BA20, 0x20000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q512Ax1,          0x20BB20, 0x20000000, 0x1000, 0x20, 64, 0, 0xc7, 80000

;micron
MT25QL128,           0x20BA18, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 120000
MT25QU128,           0x20BB18, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 120000
MT25QL256,           0x20BA19, 0x10000000, 0x1000, 0x20, 64, 0, 0xc7, 250000
MT25QU256,           0x20BB19, 0x10000000, 0x1000, 0x20, 64, 0, 0xc7, 240000
MT25QL512,           0x20BA20, 0x20000000, 0x1000, 0x20, 64, 0, 0xc7, 470000
MT25QU512,           0x20BB20, 0x20000000, 0x1000, 0x20, 64, 0, 0xc7, 470000
;Memory chips below are not supported yet.
;MT25QL01G,           0x20BA21, 0x40000000, 0x1000, 0x20, 64, 0
;MT25QU01G,           0x20BB21, 0x40000000, 0x1000, 0x20, 64, 0
;MT25QL02G,           0x20BA22, 0x80000000, 0x1000, 0x20, 64, 0
;MT25QU02G,           0x20BB22, 0x80000000, 0x1000, 0x20, 64, 0

;other
AT26DF081,           0x1F4500, 0x800000,   0x1000, 0x20,  1, 0, 0x60, 20000
AT26DF081A,          0x1F4501, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 20000
AT25DF081,           0x1F4502, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 20000
AT26DF161,           0x1F4600, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 35000
AT26DF161A,          0x1F4601, 0x1000000,  0x1000, 0X20, 64, 0, 0x60, 35000
AT25DF161,           0x1F4602, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 35000
AT25DQ161,           0x1F8600, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 35000
AT25DF321,           0x1F4700, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 60000
AT26DF321,           0x1F4700, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 60000
AT25DF321A,          0x1F4701, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 60000
